Date,Plugins_Without_Jenkinsfile,Plugins_With_Java8,Plugins_Without_Java_Versions,Plugins_Using_JDK11,Plugins_Depends_On_Java_8,Plugins_With_JDK17,Plugins_With_JDK21,Plugins_With_JDK25
2024-07-18,NaN,NaN,599,NaN,NaN,NaN,NaN,NaN
2024-07-19,598,502,599,NaN,NaN,NaN,NaN,NaN
2024-07-24,597,501,598,NaN,NaN,NaN,NaN,NaN
2024-07-25,597,501,598,NaN,NaN,NaN,NaN,NaN
2024-08-07,597,498,595,NaN,NaN,NaN,NaN,NaN
2024-08-14,597,495,592,NaN,NaN,NaN,NaN,NaN
2024-08-21,597,492,589,NaN,NaN,NaN,NaN,NaN
2024-08-28,597,490,587,NaN,NaN,NaN,NaN,NaN
2024-09-04,597,489,586,NaN,NaN,NaN,NaN,NaN
2024-09-11,597,489,586,NaN,NaN,NaN,NaN,NaN
2024-09-18,596,487,584,NaN,NaN,NaN,NaN,NaN
2024-09-25,596,487,584,NaN,NaN,NaN,NaN,NaN
2024-10-02,596,485,582,NaN,NaN,NaN,NaN,NaN
2024-10-09,596,484,581,NaN,NaN,NaN,NaN,NaN
2024-10-16,596,483,580,NaN,NaN,NaN,NaN,NaN
2024-10-23,595,480,577,NaN,NaN,NaN,NaN,NaN
2024-10-30,594,478,574,NaN,NaN,NaN,NaN,NaN
2024-11-06,593,476,572,NaN,NaN,NaN,NaN,NaN
2024-11-13,593,475,571,NaN,NaN,NaN,NaN,NaN
2025-01-07,594,468,565,NaN,NaN,NaN,NaN,NaN
2025-01-08,593,468,565,NaN,NaN,NaN,NaN,NaN
2025-01-15,588,467,564,NaN,NaN,NaN,NaN,NaN
2025-01-22,586,467,564,NaN,NaN,NaN,NaN,NaN
2025-01-29,581,462,559,NaN,NaN,NaN,NaN,NaN
2025-02-05,579,461,558,NaN,NaN,NaN,NaN,NaN
2025-02-11,579,459,556,NaN,NaN,NaN,NaN,NaN
2025-02-12,578,458,555,NaN,NaN,NaN,NaN,NaN
2025-02-14,578,457,554,NaN,NaN,NaN,NaN,NaN
2025-02-17,577,452,546,NaN,NaN,NaN,NaN,NaN
2025-02-18,575,449,546,238,NaN,NaN,NaN,NaN
2025-02-19,575,449,546,236,NaN,NaN,NaN,NaN
2025-02-24,574,448,545,234,1865,NaN,NaN,NaN
2025-02-25,574,448,545,234,1865,NaN,NaN,NaN
2025-02-26,574,448,545,230,1865,NaN,NaN,NaN
2025-03-05,574,447,544,225,1866,NaN,NaN,NaN
2025-03-11,574,445,542,222,1867,NaN,NaN,NaN
2025-03-12,574,445,542,222,1867,NaN,NaN,NaN
2025-03-19,574,445,542,220,1869,NaN,NaN,NaN
2025-03-26,573,445,542,218,1869,NaN,NaN,NaN
2025-03-31,573,443,540,218,1868,NaN,NaN,NaN
2025-04-01,573,443,540,218,1868,NaN,NaN,NaN
2025-04-02,573,443,540,218,1868,NaN,NaN,NaN
2025-04-06,573,443,540,216,1871,NaN,NaN,NaN
2025-04-08,573,442,539,216,1871,NaN,NaN,NaN
2025-04-09,573,441,537,216,1868,NaN,NaN,NaN
2025-04-10,573,442,539,216,1871,NaN,NaN,NaN
2025-04-13,572,442,539,217,1871,NaN,NaN,NaN
2025-04-16,572,442,539,217,1871,NaN,NaN,NaN
2025-04-22,572,442,539,216,1871,NaN,NaN,NaN
2025-04-23,572,442,539,216,1871,NaN,NaN,NaN
2025-04-24,572,442,539,216,1871,NaN,NaN,NaN
2025-04-25,572,442,539,216,1871,NaN,NaN,NaN
2025-04-28,572,441,538,216,1871,NaN,NaN,NaN
2025-04-29,572,441,538,216,1870,NaN,NaN,NaN
2025-04-30,572,441,538,216,1871,NaN,NaN,NaN
2025-05-04,572,441,538,216,1871,NaN,NaN,NaN
2025-05-05,572,441,538,216,1871,NaN,NaN,NaN
2025-05-06,572,441,538,216,1871,NaN,NaN,NaN
2025-05-07,572,440,537,216,1871,NaN,NaN,NaN
2025-05-11,572,439,536,214,1870,NaN,NaN,NaN
2025-05-14,572,439,536,213,1872,NaN,NaN,NaN
2025-05-21,571,439,536,211,1874,NaN,NaN,NaN
2025-05-22,571,439,536,211,1874,NaN,NaN,NaN
2025-05-25,570,439,536,208,1875,NaN,NaN,NaN
2025-05-26,483,140,174,104,1101,NaN,NaN,NaN
2025-05-28,569,438,535,207,1877,NaN,NaN,NaN
2025-06-01,569,439,536,206,1877,NaN,NaN,NaN
2025-06-02,568,439,536,205,1878,NaN,NaN,NaN
2025-06-04,569,439,536,205,1878,NaN,NaN,NaN
2025-06-08,568,439,536,205,1878,NaN,NaN,NaN
2025-06-09,568,438,535,206,1878,NaN,NaN,NaN
2025-06-11,568,438,535,206,1878,NaN,NaN,NaN
2025-06-12,568,438,535,206,1878,NaN,NaN,NaN
2025-06-15,568,436,533,204,1878,NaN,NaN,NaN
2025-06-16,568,436,533,204,1878,NaN,NaN,NaN
2025-06-18,568,436,533,203,1879,NaN,NaN,NaN
2025-06-24,568,434,531,201,1880,NaN,NaN,NaN
2025-06-25,568,434,531,201,1881,NaN,NaN,NaN
2025-07-01,568,434,531,196,1882,NaN,NaN,NaN
2025-07-02,568,434,531,195,1881,NaN,NaN,NaN
2025-07-06,568,434,531,194,1881,NaN,NaN,NaN
2025-07-07,568,434,531,194,1883,NaN,NaN,NaN
2025-07-08,568,434,531,193,1884,NaN,NaN,NaN
2025-07-09,568,434,531,192,1884,NaN,NaN,NaN
2025-07-10,568,434,531,189,1884,NaN,NaN,NaN
2025-07-13,568,433,530,189,1885,NaN,NaN,NaN
2025-07-14,568,433,530,189,1885,NaN,NaN,NaN
2025-07-15,568,432,529,189,1885,NaN,NaN,NaN
2025-07-16,568,432,529,189,1885,NaN,NaN,NaN
2025-07-18,568,432,529,188,1886,NaN,NaN,NaN
2025-07-19,568,432,529,188,1886,NaN,NaN,NaN
2025-07-22,567,432,529,186,1880,NaN,NaN,NaN
2025-07-23,567,432,529,186,1886,NaN,NaN,NaN
2025-07-27,567,432,529,185,1888,NaN,NaN,NaN
2025-07-28,567,432,529,185,1888,NaN,NaN,NaN
2025-07-29,560,422,516,181,1862,NaN,NaN,NaN
2025-07-30,567,431,528,185,1890,NaN,NaN,NaN
2025-07-31,567,431,528,185,1890,NaN,NaN,NaN
2025-08-06,565,429,527,184,1889,NaN,NaN,NaN
2025-08-10,565,429,527,184,1890,NaN,NaN,NaN
2025-08-11,565,429,527,184,1890,NaN,NaN,NaN
2025-08-12,565,428,526,184,1890,NaN,NaN,NaN
2025-08-13,565,428,526,184,1890,NaN,NaN,NaN
2025-08-14,565,428,526,184,1890,NaN,NaN,NaN
2025-08-17,565,428,526,184,1889,NaN,NaN,NaN
2025-08-18,564,428,526,184,1890,NaN,NaN,NaN
2025-08-19,565,428,526,184,1891,NaN,NaN,NaN
2025-08-20,565,428,526,184,1891,NaN,NaN,NaN
2025-08-27,565,428,526,182,1894,NaN,NaN,NaN
2025-09-03,564,428,525,182,1894,NaN,NaN,NaN
2025-09-07,563,429,526,182,1895,NaN,NaN,NaN
2025-09-08,563,428,525,183,1895,NaN,NaN,NaN
2025-09-09,563,428,525,183,1895,NaN,NaN,NaN
2025-09-10,563,428,525,183,1895,NaN,NaN,NaN
2025-09-14,563,428,525,182,1899,NaN,NaN,NaN
2025-09-15,563,428,525,182,1899,NaN,NaN,NaN
2025-09-16,563,428,525,182,1899,NaN,NaN,NaN
2025-09-17,563,428,525,182,1899,NaN,NaN,NaN
2025-09-24,562,428,525,182,1899,NaN,NaN,NaN
2025-09-25,562,428,525,182,1899,NaN,NaN,NaN
2025-09-27,562,428,525,182,1899,NaN,NaN,NaN
2025-09-28,562,428,525,182,1899,NaN,NaN,NaN
2025-09-29,562,428,525,182,1899,NaN,NaN,NaN
2025-10-01,562,428,525,181,1899,NaN,NaN,NaN
2025-10-02,562,428,525,181,1899,NaN,NaN,NaN
2025-10-08,561,428,525,181,1900,NaN,NaN,NaN
2025-10-09,561,428,525,181,1902,NaN,NaN,22
2025-10-10,561,428,525,181,1903,NaN,NaN,22
2025-10-11,561,428,525,181,1903,728,642,72
2025-10-12,561,428,525,181,1904,728,643,72
2025-10-13,561,428,525,181,1905,728,643,72
2025-10-14,561,428,525,181,1905,729,644,72
2025-10-15,561,428,525,181,1905,727,646,72
2025-10-16,561,428,525,181,1905,727,646,72
2025-10-17,561,428,525,181,1905,728,646,72
2025-10-18,561,428,525,181,1906,729,647,72
2025-10-19,561,428,525,181,1907,729,647,72
2025-10-20,561,428,525,181,1907,729,647,72
2025-10-21,561,428,525,181,1907,729,647,72
2025-10-22,561,428,525,181,1907,729,647,72
2025-10-23,561,428,525,181,1907,729,647,72
2025-10-24,561,428,525,181,1907,729,647,72
2025-10-25,561,428,525,180,1907,729,647,72
2025-10-26,561,428,525,180,1907,693,647,107
2025-10-27,561,436,533,180,1907,655,639,148
2025-10-28,560,436,533,180,1907,640,641,163
2025-10-29,561,437,534,180,1907,638,640,165
2025-10-30,561,437,535,180,1906,636,639,167
2025-10-31,560,437,535,180,1906,637,640,167
2025-11-01,560,437,535,179,1906,637,640,168
2025-11-02,560,437,535,179,1906,637,640,168
2025-11-03,560,437,535,179,1906,637,640,168
2025-11-04,560,436,534,179,1906,635,641,170
2025-11-05,560,436,534,178,1906,636,641,170
2025-11-06,560,436,534,178,1906,636,641,170
2025-11-07,560,436,534,178,1906,636,641,170
2025-11-08,560,435,534,178,1906,630,642,177
2025-11-09,560,435,534,178,1906,626,642,181
2025-11-10,560,435,534,178,1906,622,642,184
2025-11-11,560,435,533,178,1907,623,642,185
2025-11-12,560,435,533,177,1908,623,643,185
2025-11-13,558,435,533,176,1908,620,644,186
2025-11-14,560,434,532,176,1908,617,644,190
2025-11-15,560,434,532,176,1908,613,644,195
2025-11-16,560,434,532,175,1908,605,645,207
2025-11-17,560,435,533,175,1908,602,644,210
2025-11-18,560,435,533,175,1908,589,644,224
2025-11-19,560,435,533,174,1908,586,645,227
2025-11-20,560,435,533,174,1908,584,645,229
2025-11-21,560,435,533,174,1909,585,645,229
2025-11-22,560,435,533,174,1909,571,645,243
2025-11-23,560,435,533,174,1909,570,645,244
2025-11-24,560,435,533,174,1909,566,645,248
2025-11-25,560,435,533,174,1909,563,646,249
2025-11-26,560,435,533,174,1909,559,646,252
2025-11-27,560,435,533,174,1909,559,646,252
2025-11-28,560,435,533,174,1909,559,646,252
2025-11-29,560,434,532,173,1909,559,646,164
