Plugin,Repository,URL,Has_JDK25,JDK25_Commit_SHA,JDK25_Commit_Date,JDK25_PR_Number,JDK25_PR_URL,Is_Merged,Jenkinsfile_URL,Has_Jenkinsfile
Active Choices Plugin,jenkinsci/active-choices-plugin,https://github.com/jenkinsci/active-choices-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/active-choices-plugin/master/Jenkinsfile,true
Active Directory Plugin,jenkinsci/active-directory-plugin,https://github.com/jenkinsci/active-directory-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/active-directory-plugin/master/Jenkinsfile,true
Allure Plugin,jenkinsci/allure-plugin,https://github.com/jenkinsci/allure-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/allure-plugin/master/Jenkinsfile,false
Analysis Model Api Plugin,jenkinsci/analysis-model-api-plugin,https://github.com/jenkinsci/analysis-model-api-plugin,true,bd200a1c718b359a4717cf8b898a082b6a8d3f3b,2025-10-26T11:19:08Z,211,https://github.com/jenkinsci/analysis-model-api-plugin/pull/211,true,https://raw.githubusercontent.com/jenkinsci/analysis-model-api-plugin/main/Jenkinsfile,true
Ansible Plugin,jenkinsci/ansible-plugin,https://github.com/jenkinsci/ansible-plugin,true,d4cde55a4020b4f3b58d77a435b11de64fa842e3,2025-08-11T07:30:57Z,340,https://github.com/jenkinsci/ansible-plugin/pull/340,true,https://raw.githubusercontent.com/jenkinsci/ansible-plugin/main/Jenkinsfile,true
Ansicolor Plugin,jenkinsci/ansicolor-plugin,https://github.com/jenkinsci/ansicolor-plugin,true,299e57973a45eb4d6849950c0c5ee20c87dff0d3,2025-10-26T11:19:08Z,365,https://github.com/jenkinsci/ansicolor-plugin/pull/365,true,https://raw.githubusercontent.com/jenkinsci/ansicolor-plugin/master/Jenkinsfile,true
Ant Plugin,jenkinsci/ant-plugin,https://github.com/jenkinsci/ant-plugin,true,dd33fa636417d5951b07394789194a67e5ac5b28,2025-11-07T22:51:31Z,177,https://github.com/jenkinsci/ant-plugin/pull/177,true,https://raw.githubusercontent.com/jenkinsci/ant-plugin/master/Jenkinsfile,true
Antisamy Markup Formatter Plugin,jenkinsci/antisamy-markup-formatter-plugin,https://github.com/jenkinsci/antisamy-markup-formatter-plugin,true,8f540def7f4e22a21dc2cca9b45046095dcd173f,2025-11-07T12:57:28Z,149,https://github.com/jenkinsci/antisamy-markup-formatter-plugin/pull/149,true,https://raw.githubusercontent.com/jenkinsci/antisamy-markup-formatter-plugin/master/Jenkinsfile,true
Apache Httpcomponents Client 4 Api Plugin,jenkinsci/apache-httpcomponents-client-4-api-plugin,https://github.com/jenkinsci/apache-httpcomponents-client-4-api-plugin,true,49197890c1c1876cc9b597424a1821214285f1e0,2025-10-25T14:11:34Z,265,https://github.com/jenkinsci/apache-httpcomponents-client-4-api-plugin/pull/265,true,https://raw.githubusercontent.com/jenkinsci/apache-httpcomponents-client-4-api-plugin/master/Jenkinsfile,true
Apache Httpcomponents Client 5 Api Plugin,jenkinsci/apache-httpcomponents-client-5-api-plugin,https://github.com/jenkinsci/apache-httpcomponents-client-5-api-plugin,true,9da8cbc0f3cdcb578763abf2e2f73f8735faabfb,2025-10-26T11:19:08Z,105,https://github.com/jenkinsci/apache-httpcomponents-client-5-api-plugin/pull/105,true,https://raw.githubusercontent.com/jenkinsci/apache-httpcomponents-client-5-api-plugin/main/Jenkinsfile,true
Artifactory Plugin,jenkinsci/artifactory-plugin,https://github.com/jenkinsci/artifactory-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/artifactory-plugin/master/Jenkinsfile,false
Asm Api Plugin,jenkinsci/asm-api-plugin,https://github.com/jenkinsci/asm-api-plugin,true,c6b67b7c258660dcbaef8d31ee273ad79aa11462,2025-08-09T08:40:50Z,91,https://github.com/jenkinsci/asm-api-plugin/pull/91,true,https://raw.githubusercontent.com/jenkinsci/asm-api-plugin/main/Jenkinsfile,true
Authentication Tokens Plugin,jenkinsci/authentication-tokens-plugin,https://github.com/jenkinsci/authentication-tokens-plugin,true,2ff7786695582dc3b09286841e2b2f0cd2f933f2,2025-08-08T15:43:51Z,223,https://github.com/jenkinsci/authentication-tokens-plugin/pull/223,true,https://raw.githubusercontent.com/jenkinsci/authentication-tokens-plugin/master/Jenkinsfile,true
Authorize Project Plugin,jenkinsci/authorize-project-plugin,https://github.com/jenkinsci/authorize-project-plugin,true,aa49dae8e59a189edad9b6197b414be55c8c15dd,2025-11-09T21:38:02Z,340,https://github.com/jenkinsci/authorize-project-plugin/pull/340,true,https://raw.githubusercontent.com/jenkinsci/authorize-project-plugin/master/Jenkinsfile,true
Aws Credentials Plugin,jenkinsci/aws-credentials-plugin,https://github.com/jenkinsci/aws-credentials-plugin,true,8f62397c485d7485f1a470247be8951a6cf66284,2025-10-26T11:19:08Z,317,https://github.com/jenkinsci/aws-credentials-plugin/pull/317,true,https://raw.githubusercontent.com/jenkinsci/aws-credentials-plugin/master/Jenkinsfile,true
Aws Java Sdk Plugin,jenkinsci/aws-java-sdk-plugin,https://github.com/jenkinsci/aws-java-sdk-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/aws-java-sdk-plugin/master/Jenkinsfile,true
Badge Plugin,jenkinsci/badge-plugin,https://github.com/jenkinsci/badge-plugin,true,429bb7712add1886a88a53cc5380a22163913704,2025-10-25T18:49:51Z,313,https://github.com/jenkinsci/badge-plugin/pull/313,true,https://raw.githubusercontent.com/jenkinsci/badge-plugin/master/Jenkinsfile,true
Bitbucket Branch Source Plugin,jenkinsci/bitbucket-branch-source-plugin,https://github.com/jenkinsci/bitbucket-branch-source-plugin,true,4566f24e044d8038adfbb4ea4f1d4eb35885f034,2025-11-17T08:34:39Z,1141,https://github.com/jenkinsci/bitbucket-branch-source-plugin/pull/1141,true,https://raw.githubusercontent.com/jenkinsci/bitbucket-branch-source-plugin/master/Jenkinsfile,true
Bitbucket Plugin,jenkinsci/bitbucket-plugin,https://github.com/jenkinsci/bitbucket-plugin,true,e6425f2091a42391b38864dca469c6530b9b79db,2025-10-26T11:19:08Z,148,https://github.com/jenkinsci/bitbucket-plugin/pull/148,true,https://raw.githubusercontent.com/jenkinsci/bitbucket-plugin/master/Jenkinsfile,true
Blueocean Autofavorite Plugin,jenkinsci/blueocean-autofavorite-plugin,https://github.com/jenkinsci/blueocean-autofavorite-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/blueocean-autofavorite-plugin/master/Jenkinsfile,true
Blueocean Display Url Plugin,jenkinsci/blueocean-display-url-plugin,https://github.com/jenkinsci/blueocean-display-url-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/blueocean-display-url-plugin/master/Jenkinsfile,true
Blueocean Plugin,jenkinsci/blueocean-plugin,https://github.com/jenkinsci/blueocean-plugin,true,06d0609d09ab8404d9bd8e8a29fc680957da8cfd,2025-09-02T07:33:49Z,2647,https://github.com/jenkinsci/blueocean-plugin/pull/2647,true,https://raw.githubusercontent.com/jenkinsci/blueocean-plugin/master/Jenkinsfile,true
Bootstrap4 Api Plugin,jenkinsci/bootstrap4-api-plugin,https://github.com/jenkinsci/bootstrap4-api-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/bootstrap4-api-plugin/master/Jenkinsfile,true
Bootstrap5 Api Plugin,jenkinsci/bootstrap5-api-plugin,https://github.com/jenkinsci/bootstrap5-api-plugin,true,bf866fa91936eb846bc4e9303423afe1c4bde96c,2025-10-26T11:19:08Z,458,https://github.com/jenkinsci/bootstrap5-api-plugin/pull/458,true,https://raw.githubusercontent.com/jenkinsci/bootstrap5-api-plugin/main/Jenkinsfile,true
Bouncycastle Api Plugin,jenkinsci/bouncycastle-api-plugin,https://github.com/jenkinsci/bouncycastle-api-plugin,true,361332b733ebe679905a1567877f50a9c061d2e0,2025-10-26T11:19:08Z,198,https://github.com/jenkinsci/bouncycastle-api-plugin/pull/198,true,https://raw.githubusercontent.com/jenkinsci/bouncycastle-api-plugin/master/Jenkinsfile,true
Branch Api Plugin,jenkinsci/branch-api-plugin,https://github.com/jenkinsci/branch-api-plugin,true,97d1bb24ed9ad08573016e204d9477a70626a89e,2025-10-26T11:19:08Z,561,https://github.com/jenkinsci/branch-api-plugin/pull/561,true,https://raw.githubusercontent.com/jenkinsci/branch-api-plugin/master/Jenkinsfile,true
Build Name Setter Plugin,jenkinsci/build-name-setter-plugin,https://github.com/jenkinsci/build-name-setter-plugin,true,d426da33186c124d2c45b0195f62f6b639ab0a00,2025-10-26T15:45:05Z,178,https://github.com/jenkinsci/build-name-setter-plugin/pull/178,true,https://raw.githubusercontent.com/jenkinsci/build-name-setter-plugin/master/Jenkinsfile,true
Build Pipeline Plugin,jenkinsci/build-pipeline-plugin,https://github.com/jenkinsci/build-pipeline-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/build-pipeline-plugin/master/Jenkinsfile,true
Build Timeout Plugin,jenkinsci/build-timeout-plugin,https://github.com/jenkinsci/build-timeout-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/build-timeout-plugin/master/Jenkinsfile,true
Build User Vars Plugin,jenkinsci/build-user-vars-plugin,https://github.com/jenkinsci/build-user-vars-plugin,true,e1479552a9aeec882dd700b8a4f793f67100d4a0,2025-10-31T16:14:45Z,183,https://github.com/jenkinsci/build-user-vars-plugin/pull/183,true,https://raw.githubusercontent.com/jenkinsci/build-user-vars-plugin/master/Jenkinsfile,true
Built On Column Plugin,jenkinsci/built-on-column-plugin,https://github.com/jenkinsci/built-on-column-plugin,true,bbda2d146d551e0c673f6d3df1b71f6469949606,2025-10-25T17:50:04Z,66,https://github.com/jenkinsci/built-on-column-plugin/pull/66,true,https://raw.githubusercontent.com/jenkinsci/built-on-column-plugin/master/Jenkinsfile,true
Caffeine Api Plugin,jenkinsci/caffeine-api-plugin,https://github.com/jenkinsci/caffeine-api-plugin,true,c80dd86c785ad310d21a6fe5905559124225b661,2025-10-26T11:19:08Z,141,https://github.com/jenkinsci/caffeine-api-plugin/pull/141,true,https://raw.githubusercontent.com/jenkinsci/caffeine-api-plugin/master/Jenkinsfile,true
Checks Api Plugin,jenkinsci/checks-api-plugin,https://github.com/jenkinsci/checks-api-plugin,true,3228135dfb6ede49f99fc34ab37ee884829c2410,2025-10-26T18:34:50Z,306,https://github.com/jenkinsci/checks-api-plugin/pull/306,true,https://raw.githubusercontent.com/jenkinsci/checks-api-plugin/master/Jenkinsfile,true
Cloud Stats Plugin,jenkinsci/cloud-stats-plugin,https://github.com/jenkinsci/cloud-stats-plugin,true,3ed171a2214f8aeba339ba429c4bd34b346b03c9,2025-10-25T17:49:24Z,175,https://github.com/jenkinsci/cloud-stats-plugin/pull/175,true,https://raw.githubusercontent.com/jenkinsci/cloud-stats-plugin/master/Jenkinsfile,true
Cloudbees Folder Plugin,jenkinsci/cloudbees-folder-plugin,https://github.com/jenkinsci/cloudbees-folder-plugin,true,06d85fcc4ae868cbdea5a46672e36ed1e699b43f,2025-10-26T11:19:08Z,544,https://github.com/jenkinsci/cloudbees-folder-plugin/pull/544,true,https://raw.githubusercontent.com/jenkinsci/cloudbees-folder-plugin/master/Jenkinsfile,true
Cobertura Plugin,jenkinsci/cobertura-plugin,https://github.com/jenkinsci/cobertura-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/cobertura-plugin/master/Jenkinsfile,true
Code Coverage Api Plugin,jenkinsci/code-coverage-api-plugin,https://github.com/jenkinsci/code-coverage-api-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/code-coverage-api-plugin/master/Jenkinsfile,true
Command Launcher Plugin,jenkinsci/command-launcher-plugin,https://github.com/jenkinsci/command-launcher-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/command-launcher-plugin/master/Jenkinsfile,true
Commons Compress Api Plugin,jenkinsci/commons-compress-api-plugin,https://github.com/jenkinsci/commons-compress-api-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/commons-compress-api-plugin/master/Jenkinsfile,true
Commons Httpclient3 Api Plugin,jenkinsci/commons-httpclient3-api-plugin,https://github.com/jenkinsci/commons-httpclient3-api-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/commons-httpclient3-api-plugin/master/Jenkinsfile,true
Commons Lang3 Api Plugin,jenkinsci/commons-lang3-api-plugin,https://github.com/jenkinsci/commons-lang3-api-plugin,true,4a3a22958a404fe712d8d188a80875d3e93493c8,2025-10-26T18:35:00Z,96,https://github.com/jenkinsci/commons-lang3-api-plugin/pull/96,true,https://raw.githubusercontent.com/jenkinsci/commons-lang3-api-plugin/main/Jenkinsfile,true
Commons Text Api Plugin,jenkinsci/commons-text-api-plugin,https://github.com/jenkinsci/commons-text-api-plugin,true,a5d499fff1914809ea15a8237bdbed15e5d77296,2025-10-26T11:19:08Z,155,https://github.com/jenkinsci/commons-text-api-plugin/pull/155,true,https://raw.githubusercontent.com/jenkinsci/commons-text-api-plugin/main/Jenkinsfile,true
Conditional Buildstep Plugin,jenkinsci/conditional-buildstep-plugin,https://github.com/jenkinsci/conditional-buildstep-plugin,true,714d9a78dca648ec35d1a7ff4e02703ce63a099a,2025-10-25T17:51:37Z,147,https://github.com/jenkinsci/conditional-buildstep-plugin/pull/147,true,https://raw.githubusercontent.com/jenkinsci/conditional-buildstep-plugin/master/Jenkinsfile,true
Config File Provider Plugin,jenkinsci/config-file-provider-plugin,https://github.com/jenkinsci/config-file-provider-plugin,true,6b4fd1320e9617ac1776abc51a2bf49faaa732a4,2025-08-12T15:55:11Z,384,https://github.com/jenkinsci/config-file-provider-plugin/pull/384,true,https://raw.githubusercontent.com/jenkinsci/config-file-provider-plugin/master/Jenkinsfile,true
Configuration As Code Plugin,jenkinsci/configuration-as-code-plugin,https://github.com/jenkinsci/configuration-as-code-plugin,true,918aba0771670ac36d4af96715338a1666704d5c,2025-10-26T18:35:11Z,2732,https://github.com/jenkinsci/configuration-as-code-plugin/pull/2732,true,https://raw.githubusercontent.com/jenkinsci/configuration-as-code-plugin/master/Jenkinsfile,true
Copyartifact Plugin,jenkinsci/copyartifact-plugin,https://github.com/jenkinsci/copyartifact-plugin,true,da39719dcbb64b37959f5d02ddccf9a8db317a8f,2025-10-25T17:52:00Z,283,https://github.com/jenkinsci/copyartifact-plugin/pull/283,true,https://raw.githubusercontent.com/jenkinsci/copyartifact-plugin/master/Jenkinsfile,true
Coverage Plugin,jenkinsci/coverage-plugin,https://github.com/jenkinsci/coverage-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/coverage-plugin/main/Jenkinsfile,true
Credentials Binding Plugin,jenkinsci/credentials-binding-plugin,https://github.com/jenkinsci/credentials-binding-plugin,true,431c4842c9e3c578126fadf1718936bd50bf8262,2025-11-14T01:45:19Z,390,https://github.com/jenkinsci/credentials-binding-plugin/pull/390,true,https://raw.githubusercontent.com/jenkinsci/credentials-binding-plugin/master/Jenkinsfile,true
Credentials Plugin,jenkinsci/credentials-plugin,https://github.com/jenkinsci/credentials-plugin,true,ab6088f4826376627ab383dd85a7b45089e2ab77,2025-11-15T12:30:28Z,657,https://github.com/jenkinsci/credentials-plugin/pull/657,true,https://raw.githubusercontent.com/jenkinsci/credentials-plugin/master/Jenkinsfile,true
Dark Theme Plugin,jenkinsci/dark-theme-plugin,https://github.com/jenkinsci/dark-theme-plugin,true,e975868bbeb59c5a3606e48bc4d8a37e80f5a634,2025-10-26T12:48:03Z,656,https://github.com/jenkinsci/dark-theme-plugin/pull/656,true,https://raw.githubusercontent.com/jenkinsci/dark-theme-plugin/master/Jenkinsfile,true
Dashboard View Plugin,jenkinsci/dashboard-view-plugin,https://github.com/jenkinsci/dashboard-view-plugin,true,022d9810a61d218df3b94c82e6f105ccb2150fef,2025-10-26T11:19:08Z,431,https://github.com/jenkinsci/dashboard-view-plugin/pull/431,true,https://raw.githubusercontent.com/jenkinsci/dashboard-view-plugin/main/Jenkinsfile,true
Data Tables Api Plugin,jenkinsci/data-tables-api-plugin,https://github.com/jenkinsci/data-tables-api-plugin,true,fd63cc2289d29eb0574087420d37bc20019e4040,2025-10-26T11:19:08Z,635,https://github.com/jenkinsci/data-tables-api-plugin/pull/635,true,https://raw.githubusercontent.com/jenkinsci/data-tables-api-plugin/main/Jenkinsfile,true
Display Url Api Plugin,jenkinsci/display-url-api-plugin,https://github.com/jenkinsci/display-url-api-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/display-url-api-plugin/master/Jenkinsfile,true
Docker Commons Plugin,jenkinsci/docker-commons-plugin,https://github.com/jenkinsci/docker-commons-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/docker-commons-plugin/master/Jenkinsfile,true
Docker Java Api Plugin,jenkinsci/docker-java-api-plugin,https://github.com/jenkinsci/docker-java-api-plugin,true,d0e563bd1747bf7b3db67448c2c99fbf6d7dd496,2025-10-25T17:53:49Z,147,https://github.com/jenkinsci/docker-java-api-plugin/pull/147,true,https://raw.githubusercontent.com/jenkinsci/docker-java-api-plugin/master/Jenkinsfile,true
Docker Plugin,jenkinsci/docker-plugin,https://github.com/jenkinsci/docker-plugin,true,a0b972a7c22676619703ba7f912736a88861c8a1,2025-10-25T18:09:14Z,1176,https://github.com/jenkinsci/docker-plugin/pull/1176,true,https://raw.githubusercontent.com/jenkinsci/docker-plugin/master/Jenkinsfile,true
Docker Workflow Plugin,jenkinsci/docker-workflow-plugin,https://github.com/jenkinsci/docker-workflow-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/docker-workflow-plugin/master/Jenkinsfile,true
Durable Task Plugin,jenkinsci/durable-task-plugin,https://github.com/jenkinsci/durable-task-plugin,true,34de90342d535fe1fff4623223f0ef47c4e714be,2025-11-14T01:42:13Z,304,https://github.com/jenkinsci/durable-task-plugin/pull/304,true,https://raw.githubusercontent.com/jenkinsci/durable-task-plugin/master/Jenkinsfile,true
Echarts Api Plugin,jenkinsci/echarts-api-plugin,https://github.com/jenkinsci/echarts-api-plugin,true,48e2f8240847f4a4e6120e0f4f5796f9607b8efd,2025-10-26T11:19:08Z,438,https://github.com/jenkinsci/echarts-api-plugin/pull/438,true,https://raw.githubusercontent.com/jenkinsci/echarts-api-plugin/main/Jenkinsfile,true
Eddsa Api Plugin,jenkinsci/eddsa-api-plugin,https://github.com/jenkinsci/eddsa-api-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/eddsa-api-plugin/master/Jenkinsfile,true
Email Ext Plugin,jenkinsci/email-ext-plugin,https://github.com/jenkinsci/email-ext-plugin,true,ff0233ef1c890aefe2f3bc94928977c3243a0cf0,2025-10-26T11:19:08Z,644,https://github.com/jenkinsci/email-ext-plugin/pull/644,true,https://raw.githubusercontent.com/jenkinsci/email-ext-plugin/main/Jenkinsfile,true
Emailext Template Plugin,jenkinsci/emailext-template-plugin,https://github.com/jenkinsci/emailext-template-plugin,true,769557a69907783c5f8a9a2ee2104e9d3cd56da3,2025-10-25T18:06:02Z,167,https://github.com/jenkinsci/emailext-template-plugin/pull/167,true,https://raw.githubusercontent.com/jenkinsci/emailext-template-plugin/master/Jenkinsfile,true
Envinject Api Plugin,jenkinsci/envinject-api-plugin,https://github.com/jenkinsci/envinject-api-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/envinject-api-plugin/master/Jenkinsfile,true
Envinject Plugin,jenkinsci/envinject-plugin,https://github.com/jenkinsci/envinject-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/envinject-plugin/master/Jenkinsfile,true
Extended Choice Parameter Plugin,jenkinsci/extended-choice-parameter-plugin,https://github.com/jenkinsci/extended-choice-parameter-plugin,false,,,,,false,https://raw.githubusercontent.com/jenkinsci/extended-choice-parameter-plugin/main/Jenkinsfile,true
